No,CollarID,AnimalID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C]
0,17989,N/A,1/29/2018,6:01:02,1/29/2018,0:01:02,G,1/29/2018,6:02:49,47.2628,-115.80881,1128,1.8,val. GPS-3D,0,0,1,0,3.68,0,4
1,17989,N/A,1/28/2018,17:02:02,1/28/2018,11:02:02,G,1/28/2018,17:02:33,47.26213,-115.80843,1101,1.4,val. GPS-3D,0,0,1,71,3.68,0,2
2,17989,N/A,1/28/2018,4:00:30,1/27/2018,22:00:30,G,1/28/2018,4:01:02,47.26181,-115.8103,1068,1.6,val. GPS-3D,0,0,1,1,3.68,0,4
3,17989,N/A,1/27/2018,2:00:33,1/26/2018,20:00:33,G,1/27/2018,2:01:05,47.26109,-115.8077,1150,2,val. GPS-3D,0,0,1,2,3.68,0,2
4,17989,N/A,1/26/2018,13:00:30,1/26/2018,7:00:30,G,1/26/2018,13:10:12,47.26259,-115.80873,1167,1.4,val. GPS-3D,0,0,1,0,3.68,0,1
5,17989,N/A,1/26/2018,0:02:01,1/25/2018,18:02:01,G,1/26/2018,0:02:32,47.26266,-115.80765,1127,1.6,val. GPS-3D,0,0,1,67,3.68,0,2
6,17989,N/A,1/25/2018,11:01:55,1/25/2018,5:01:55,G,1/25/2018,11:02:26,47.26257,-115.80883,1136,2,val. GPS-3D,0,0,1,96,3.68,0,1
7,17989,N/A,1/24/2018,22:01:33,1/24/2018,16:01:33,G,1/24/2018,22:11:12,47.26443,-115.80924,1147,1.8,val. GPS-3D,0,0,1,44,3.68,0,4
8,17989,N/A,1/24/2018,9:01:01,1/24/2018,3:01:01,G,1/24/2018,9:10:44,47.26281,-115.80875,1136,2,val. GPS-3D,0,0,1,2,3.68,0,3
9,17989,N/A,1/23/2018,7:01:57,1/23/2018,1:01:57,G,1/23/2018,7:03:30,47.26458,-115.81104,1085,2.4,GPS-3D,0,0,1,45,3.68,0,2
10,17989,N/A,1/22/2018,18:01:01,1/22/2018,12:01:01,G,1/22/2018,18:01:32,47.26744,-115.80982,1216,1.8,val. GPS-3D,0,0,1,0,3.68,0,6
11,17989,N/A,1/21/2018,3:01:25,1/20/2018,21:01:25,G,1/21/2018,3:19:07,47.267,-115.81165,1181,1.6,val. GPS-3D,0,0,1,0,3.68,0,2
12,17989,N/A,1/20/2018,14:01:26,1/20/2018,8:01:26,G,1/20/2018,14:01:56,47.26712,-115.81016,1201,1.6,val. GPS-3D,0,0,1,0,3.68,0,2
13,17989,N/A,1/20/2018,1:01:01,1/19/2018,19:01:01,G,1/20/2018,1:01:32,47.26683,-115.81028,1172,1.6,val. GPS-3D,0,0,1,111,3.68,0,0
14,17989,N/A,1/19/2018,12:00:31,1/19/2018,6:00:31,G,1/19/2018,12:11:11,47.26641,-115.81082,1177,2.4,val. GPS-3D,0,0,1,0,3.68,0,2
